origin,destination,bucket,day_type,flow_veh_per_hour
Z01,Z02,06:00,weekday,160.24
Z01,Z02,06:30,weekday,146.29
Z01,Z02,07:00,weekday,144.78
Z01,Z02,07:30,weekday,144.93
Z01,Z02,08:00,weekday,137.39
Z01,Z02,08:30,weekday,140.67
Z01,Z02,09:00,weekday,144.59
Z01,Z02,09:30,weekday,142.48
Z01,Z02,10:00,weekday,135.77
Z01,Z02,10:30,weekday,130.74
Z01,Z02,11:00,weekday,144.73
Z01,Z02,11:30,weekday,142.89
Z01,Z02,12:00,weekday,142.36
Z01,Z02,12:30,weekday,145.06
Z01,Z02,13:00,weekday,147.61
Z01,Z02,13:30,weekday,150.76
Z01,Z02,14:00,weekday,156.76
Z01,Z02,14:30,weekday,153.76
Z01,Z02,15:00,weekday,144.09
Z01,Z02,15:30,weekday,132.28
Z01,Z02,16:00,weekday,140.39
Z01,Z02,16:30,weekday,123.64
Z01,Z02,19:00,weekday,131.47
Z01,Z02,21:30,weekday,117.23
Z01,Z02,06:00,weekend,83.03
Z01,Z02,06:30,weekend,83.03
Z01,Z02,07:00,weekend,81.29
Z01,Z02,07:30,weekend,81.02
Z01,Z02,08:00,weekend,83.03
Z01,Z02,08:30,weekend,83.03
Z01,Z02,09:00,weekend,87.55
Z01,Z02,09:30,weekend,88.84
Z01,Z02,10:00,weekend,85.96
Z01,Z02,10:30,weekend,85.51
Z01,Z02,11:00,weekend,91.07
Z01,Z02,11:30,weekend,98.81
Z01,Z02,12:00,weekend,83.03
Z01,Z02,12:30,weekend,84.98
Z01,Z02,13:00,weekend,83.74
Z01,Z02,13:30,weekend,82.83
Z01,Z02,14:00,weekend,85.09
Z01,Z02,14:30,weekend,88.51
Z01,Z02,15:00,weekend,85.08
Z01,Z02,15:30,weekend,82.49
Z01,Z02,16:00,weekend,83.77
Z01,Z02,16:30,weekend,82.75
Z01,Z02,19:00,weekend,83.03
Z01,Z02,21:30,weekend,83.03
Z01,Z03,06:00,weekday,401.25
Z01,Z03,06:30,weekday,366.32
Z01,Z03,07:00,weekday,362.55
Z01,Z03,07:30,weekday,362.91
Z01,Z03,08:00,weekday,344.03
Z01,Z03,08:30,weekday,352.26
Z01,Z03,09:00,weekday,362.06
Z01,Z03,09:30,weekday,356.79
Z01,Z03,10:00,weekday,339.97
Z01,Z03,10:30,weekday,327.38
Z01,Z03,11:00,weekday,362.41
Z01,Z03,11:30,weekday,357.81
Z01,Z03,12:00,weekday,356.47
Z01,Z03,12:30,weekday,363.24
Z01,Z03,13:00,weekday,369.63
Z01,Z03,13:30,weekday,377.52
Z01,Z03,14:00,weekday,392.55
Z01,Z03,14:30,weekday,385.02
Z01,Z03,15:00,weekday,360.81
Z01,Z03,15:30,weekday,331.24
Z01,Z03,16:00,weekday,351.55
Z01,Z03,16:30,weekday,309.62
Z01,Z03,19:00,weekday,329.21
Z01,Z03,21:30,weekday,293.54
Z01,Z03,06:00,weekend,207.92
Z01,Z03,06:30,weekend,207.92
Z01,Z03,07:00,weekend,203.56
Z01,Z03,07:30,weekend,202.89
Z01,Z03,08:00,weekend,207.92
Z01,Z03,08:30,weekend,207.92
Z01,Z03,09:00,weekend,219.22
Z01,Z03,09:30,weekend,222.47
Z01,Z03,10:00,weekend,215.26
Z01,Z03,10:30,weekend,214.12
Z01,Z03,11:00,weekend,228.03
Z01,Z03,11:30,weekend,247.43
Z01,Z03,12:00,weekend,207.92
Z01,Z03,12:30,weekend,212.8
Z01,Z03,13:00,weekend,209.69
Z01,Z03,13:30,weekend,207.41
Z01,Z03,14:00,weekend,213.08
Z01,Z03,14:30,weekend,221.64
Z01,Z03,15:00,weekend,213.05
Z01,Z03,15:30,weekend,206.56
Z01,Z03,16:00,weekend,209.77
Z01,Z03,16:30,weekend,207.22
Z01,Z03,19:00,weekend,207.92
Z01,Z03,21:30,weekend,207.92
Z01,Z04,06:00,weekday,158.21
Z01,Z04,06:30,weekday,144.43
Z01,Z04,07:00,weekday,142.95
Z01,Z04,07:30,weekday,143.09
Z01,Z04,08:00,weekday,135.65
Z01,Z04,08:30,weekday,138.89
Z01,Z04,09:00,weekday,142.75
Z01,Z04,09:30,weekday,140.68
Z01,Z04,10:00,weekday,134.05
Z01,Z04,10:30,weekday,129.08
Z01,Z04,11:00,weekday,142.89
Z01,Z04,11:30,weekday,141.08
Z01,Z04,12:00,weekday,140.55
Z01,Z04,12:30,weekday,143.22
Z01,Z04,13:00,weekday,145.74
Z01,Z04,13:30,weekday,148.85
Z01,Z04,14:00,weekday,154.78
Z01,Z04,14:30,weekday,151.81
Z01,Z04,15:00,weekday,142.26
Z01,Z04,15:30,weekday,130.6
Z01,Z04,16:00,weekday,138.61
Z01,Z04,16:30,weekday,122.08
Z01,Z04,19:00,weekday,129.8
Z01,Z04,21:30,weekday,115.74
Z01,Z04,06:00,weekend,81.98
Z01,Z04,06:30,weekend,81.98
Z01,Z04,07:00,weekend,80.26
Z01,Z04,07:30,weekend,80.0
Z01,Z04,08:00,weekend,81.98
Z01,Z04,08:30,weekend,81.98
Z01,Z04,09:00,weekend,86.44
Z01,Z04,09:30,weekend,87.72
Z01,Z04,10:00,weekend,84.87
Z01,Z04,10:30,weekend,84.43
Z01,Z04,11:00,weekend,89.91
Z01,Z04,11:30,weekend,97.56
Z01,Z04,12:00,weekend,81.98
Z01,Z04,12:30,weekend,83.9
Z01,Z04,13:00,weekend,82.68
Z01,Z04,13:30,weekend,81.78
Z01,Z04,14:00,weekend,84.02
Z01,Z04,14:30,weekend,87.39
Z01,Z04,15:00,weekend,84.0
Z01,Z04,15:30,weekend,81.44
Z01,Z04,16:00,weekend,82.71
Z01,Z04,16:30,weekend,81.7
Z01,Z04,19:00,weekend,81.98
Z01,Z04,21:30,weekend,81.98
Z01,Z05,06:00,weekday,39.41
Z01,Z05,06:30,weekday,35.98
Z01,Z05,07:00,weekday,35.61
Z01,Z05,07:30,weekday,35.65
Z01,Z05,08:00,weekday,33.79
Z01,Z05,08:30,weekday,34.6
Z01,Z05,09:00,weekday,35.56
Z01,Z05,09:30,weekday,35.05
Z01,Z05,10:00,weekday,33.4
Z01,Z05,10:30,weekday,32.16
Z01,Z05,11:00,weekday,35.6
Z01,Z05,11:30,weekday,35.15
Z01,Z05,12:00,weekday,35.02
Z01,Z05,12:30,weekday,35.68
Z01,Z05,13:00,weekday,36.31
Z01,Z05,13:30,weekday,37.08
Z01,Z05,14:00,weekday,38.56
Z01,Z05,14:30,weekday,37.82
Z01,Z05,15:00,weekday,35.44
Z01,Z05,15:30,weekday,32.54
Z01,Z05,16:00,weekday,34.53
Z01,Z05,16:30,weekday,30.41
Z01,Z05,19:00,weekday,32.34
Z01,Z05,21:30,weekday,28.83
Z01,Z05,06:00,weekend,20.42
Z01,Z05,06:30,weekend,20.42
Z01,Z05,07:00,weekend,20.0
Z01,Z05,07:30,weekend,19.93
Z01,Z05,08:00,weekend,20.42
Z01,Z05,08:30,weekend,20.42
Z01,Z05,09:00,weekend,21.53
Z01,Z05,09:30,weekend,21.85
Z01,Z05,10:00,weekend,21.14
Z01,Z05,10:30,weekend,21.03
Z01,Z05,11:00,weekend,22.4
Z01,Z05,11:30,weekend,24.3
Z01,Z05,12:00,weekend,20.42
Z01,Z05,12:30,weekend,20.9
Z01,Z05,13:00,weekend,20.6
Z01,Z05,13:30,weekend,20.37
Z01,Z05,14:00,weekend,20.93
Z01,Z05,14:30,weekend,21.77
Z01,Z05,15:00,weekend,20.93
Z01,Z05,15:30,weekend,20.29
Z01,Z05,16:00,weekend,20.61
Z01,Z05,16:30,weekend,20.35
Z01,Z05,19:00,weekend,20.42
Z01,Z05,21:30,weekend,20.42
Z01,Z06,06:00,weekday,70.32
Z01,Z06,06:30,weekday,64.2
Z01,Z06,07:00,weekday,63.54
Z01,Z06,07:30,weekday,63.6
Z01,Z06,08:00,weekday,60.29
Z01,Z06,08:30,weekday,61.74
Z01,Z06,09:00,weekday,63.45
Z01,Z06,09:30,weekday,62.53
Z01,Z06,10:00,weekday,59.58
Z01,Z06,10:30,weekday,57.38
Z01,Z06,11:00,weekday,63.52
Z01,Z06,11:30,weekday,62.71
Z01,Z06,12:00,weekday,62.47
Z01,Z06,12:30,weekday,63.66
Z01,Z06,13:00,weekday,64.78
Z01,Z06,13:30,weekday,66.16
Z01,Z06,14:00,weekday,68.8
Z01,Z06,14:30,weekday,67.48
Z01,Z06,15:00,weekday,63.23
Z01,Z06,15:30,weekday,58.05
Z01,Z06,16:00,weekday,61.61
Z01,Z06,16:30,weekday,54.26
Z01,Z06,19:00,weekday,57.7
Z01,Z06,21:30,weekday,51.45
Z01,Z06,06:00,weekend,36.44
Z01,Z06,06:30,weekend,36.44
Z01,Z06,07:00,weekend,35.67
Z01,Z06,07:30,weekend,35.56
Z01,Z06,08:00,weekend,36.44
Z01,Z06,08:30,weekend,36.44
Z01,Z06,09:00,weekend,38.42
Z01,Z06,09:30,weekend,38.99
Z01,Z06,10:00,weekend,37.73
Z01,Z06,10:30,weekend,37.53
Z01,Z06,11:00,weekend,39.96
Z01,Z06,11:30,weekend,43.36
Z01,Z06,12:00,weekend,36.44
Z01,Z06,12:30,weekend,37.29
Z01,Z06,13:00,weekend,36.75
Z01,Z06,13:30,weekend,36.35
Z01,Z06,14:00,weekend,37.34
Z01,Z06,14:30,weekend,38.84
Z01,Z06,15:00,weekend,37.34
Z01,Z06,15:30,weekend,36.2
Z01,Z06,16:00,weekend,36.76
Z01,Z06,16:30,weekend,36.32
Z01,Z06,19:00,weekend,36.44
Z01,Z06,21:30,weekend,36.44
Z01,Z07,06:00,weekday,43.46
Z01,Z07,06:30,weekday,39.68
Z01,Z07,07:00,weekday,39.27
Z01,Z07,07:30,weekday,39.31
Z01,Z07,08:00,weekday,37.27
Z01,Z07,08:30,weekday,38.16
Z01,Z07,09:00,weekday,39.22
Z01,Z07,09:30,weekday,38.65
Z01,Z07,10:00,weekday,36.83
Z01,Z07,10:30,weekday,35.46
Z01,Z07,11:00,weekday,39.26
Z01,Z07,11:30,weekday,38.76
Z01,Z07,12:00,weekday,38.61
Z01,Z07,12:30,weekday,39.35
Z01,Z07,13:00,weekday,40.04
Z01,Z07,13:30,weekday,40.89
Z01,Z07,14:00,weekday,42.52
Z01,Z07,14:30,weekday,41.7
Z01,Z07,15:00,weekday,39.08
Z01,Z07,15:30,weekday,35.88
Z01,Z07,16:00,weekday,38.08
Z01,Z07,16:30,weekday,33.54
Z01,Z07,19:00,weekday,35.66
Z01,Z07,21:30,weekday,31.8
Z01,Z07,06:00,weekend,22.52
Z01,Z07,06:30,weekend,22.52
Z01,Z07,07:00,weekend,22.05
Z01,Z07,07:30,weekend,21.98
Z01,Z07,08:00,weekend,22.52
Z01,Z07,08:30,weekend,22.52
Z01,Z07,09:00,weekend,23.75
Z01,Z07,09:30,weekend,24.1
Z01,Z07,10:00,weekend,23.32
Z01,Z07,10:30,weekend,23.19
Z01,Z07,11:00,weekend,24.7
Z01,Z07,11:30,weekend,26.8
Z01,Z07,12:00,weekend,22.52
Z01,Z07,12:30,weekend,23.05
Z01,Z07,13:00,weekend,22.71
Z01,Z07,13:30,weekend,22.47
Z01,Z07,14:00,weekend,23.08
Z01,Z07,14:30,weekend,24.01
Z01,Z07,15:00,weekend,23.08
Z01,Z07,15:30,weekend,22.37
Z01,Z07,16:00,weekend,22.72
Z01,Z07,16:30,weekend,22.45
Z01,Z07,19:00,weekend,22.52
Z01,Z07,21:30,weekend,22.52
Z01,Z08,06:00,weekday,27.53
Z01,Z08,06:30,weekday,25.13
Z01,Z08,07:00,weekday,24.87
Z01,Z08,07:30,weekday,24.9
Z01,Z08,08:00,weekday,23.6
Z01,Z08,08:30,weekday,24.16
Z01,Z08,09:00,weekday,24.84
Z01,Z08,09:30,weekday,24.48
Z01,Z08,10:00,weekday,23.32
Z01,Z08,10:30,weekday,22.46
Z01,Z08,11:00,weekday,24.86
Z01,Z08,11:30,weekday,24.55
Z01,Z08,12:00,weekday,24.45
Z01,Z08,12:30,weekday,24.92
Z01,Z08,13:00,weekday,25.36
Z01,Z08,13:30,weekday,25.9
Z01,Z08,14:00,weekday,26.93
Z01,Z08,14:30,weekday,26.41
Z01,Z08,15:00,weekday,24.75
Z01,Z08,15:30,weekday,22.72
Z01,Z08,16:00,weekday,24.12
Z01,Z08,16:30,weekday,21.24
Z01,Z08,19:00,weekday,22.58
Z01,Z08,21:30,weekday,20.14
Z01,Z08,06:00,weekend,14.26
Z01,Z08,06:30,weekend,14.26
Z01,Z08,07:00,weekend,13.96
Z01,Z08,07:30,weekend,13.92
Z01,Z08,08:00,weekend,14.26
Z01,Z08,08:30,weekend,14.26
Z01,Z08,09:00,weekend,15.04
Z01,Z08,09:30,weekend,15.26
Z01,Z08,10:00,weekend,14.77
Z01,Z08,10:30,weekend,14.69
Z01,Z08,11:00,weekend,15.64
Z01,Z08,11:30,weekend,16.97
Z01,Z08,12:00,weekend,14.26
Z01,Z08,12:30,weekend,14.6
Z01,Z08,13:00,weekend,14.38
Z01,Z08,13:30,weekend,14.23
Z01,Z08,14:00,weekend,14.62
Z01,Z08,14:30,weekend,15.2
Z01,Z08,15:00,weekend,14.62
Z01,Z08,15:30,weekend,14.17
Z01,Z08,16:00,weekend,14.39
Z01,Z08,16:30,weekend,14.22
Z01,Z08,19:00,weekend,14.26
Z01,Z08,21:30,weekend,14.26
Z01,Z09,06:00,weekday,8.12
Z01,Z09,06:30,weekday,7.41
Z01,Z09,07:00,weekday,7.33
Z01,Z09,07:30,weekday,7.34
Z01,Z09,08:00,weekday,6.96
Z01,Z09,08:30,weekday,7.12
Z01,Z09,09:00,weekday,7.32
Z01,Z09,09:30,weekday,7.22
Z01,Z09,10:00,weekday,6.88
Z01,Z09,10:30,weekday,6.62
Z01,Z09,11:00,weekday,7.33
Z01,Z09,11:30,weekday,7.24
Z01,Z09,12:00,weekday,7.21
Z01,Z09,12:30,weekday,7.35
Z01,Z09,13:00,weekday,7.48
Z01,Z09,13:30,weekday,7.64
Z01,Z09,14:00,weekday,7.94
Z01,Z09,14:30,weekday,7.79
Z01,Z09,15:00,weekday,7.3
Z01,Z09,15:30,weekday,6.7
Z01,Z09,16:00,weekday,7.11
Z01,Z09,16:30,weekday,6.26
Z01,Z09,19:00,weekday,6.66
Z01,Z09,21:30,weekday,5.94
Z01,Z09,06:00,weekend,4.21
Z01,Z09,06:30,weekend,4.21
Z01,Z09,07:00,weekend,4.12
Z01,Z09,07:30,weekend,4.1
Z01,Z09,08:00,weekend,4.21
Z01,Z09,08:30,weekend,4.21
Z01,Z09,09:00,weekend,4.43
Z01,Z09,09:30,weekend,4.5
Z01,Z09,10:00,weekend,4.35
Z01,Z09,10:30,weekend,4.33
Z01,Z09,11:00,weekend,4.61
Z01,Z09,11:30,weekend,5.0
Z01,Z09,12:00,weekend,4.21
Z01,Z09,12:30,weekend,4.3
Z01,Z09,13:00,weekend,4.24
Z01,Z09,13:30,weekend,4.19
